Carimbo de data/hora,Gênero?,Qual a sua área  de atuação?,Há quantos anos trabalha com o desenvolvimento de Mobile APPs? ,Tem conhecimento sobre desenvolvimento Mobile com funcionalidades voltadas para a acessibilidade em APPs?,Onde você aprendeu sobre acessibilidade?,O quanto você acha que implementa conceitos de acessibilidade nos seus projetos?,"Dos OS listados, marque todos que você considera de fácil implementação de funcionalidades relacionadas a acessibilidade.",Qual a maior dificuldade ao implementar funcionalidades com features de acessibilidade?,Atualmente você trabalha com desenvolvimento Mobile em alguma empresa?,Na empresa em que trabalha são aplicados funcionalidades visando a acessibilidade em APPs?,Qual o tamanho da empresa que você trabalha?
26/01/2021 11:20:07,Feminino,Desenvolvedor Mobile,Entre 1 e 3 anos,"Sim, já ouvi falar.",Curso online,2,"Android, IOS",Conhecimento técnico,Não,,
26/01/2021 11:21:32,Masculino,QA,Entre 3 e 5 anos,"Sim, eu conheço ou já utilizo.",Faculdade,4,"Android, IOS",Falta de obrigação nos requisitos do projeto,Sim,Sim,Média
26/01/2021 11:23:52,Feminino,UI/UX,Menos de 1 ano,"Não, nunca ouvi falar.",,,,,,,
26/01/2021 11:24:28,Masculino,Desenvolvedor Mobile,Menos de 1 ano,"Sim, já ouvi falar.",Curso online,1,Não sei opinar,Conhecimento técnico,Não,,
26/01/2021 11:32:49,Masculino,Desenvolvedor Mobile,Entre 1 e 3 anos,"Sim, eu conheço ou já utilizo.",Na prática no trabalho,4,"Android, IOS",Tempo de desenvolvimento,Sim,Sim,Grande
26/01/2021 11:33:25,Masculino,Desenvolvedor Mobile,Entre 3 e 5 anos,"Não, nunca ouvi falar.",,,,,,,
26/01/2021 11:34:23,Masculino,Desenvolvedor Mobile,Entre 1 e 3 anos,"Sim, já ouvi falar.",Faculdade,2,"Android, IOS",Tempo de desenvolvimento,Sim,Não,Pequena
26/01/2021 11:36:05,Feminino,Desenvolvedor Mobile,Menos de 1 ano,"Sim, já ouvi falar.",Pesquisando,4,Android,Tempo de desenvolvimento,Não,,
26/01/2021 11:38:31,Masculino,Desenvolvedor Mobile,Menos de 1 ano,"Sim, já ouvi falar.",Curso online,0,Não sei opinar,Tempo de desenvolvimento,Sim,Não,Pequena
26/01/2021 11:41:06,Masculino,Desenvolvedor Mobile,Menos de 1 ano,"Não, nunca ouvi falar.",,,,,,,
26/01/2021 11:42:27,Masculino,UI/UX,Entre 1 e 3 anos,"Sim, eu conheço ou já utilizo.",Curso online,3,Não sei opinar,Falta de obrigação nos requisitos do projeto,Sim,Não,Pequena
26/01/2021 11:55:41,Masculino,Desenvolvedor Mobile,Entre 1 e 3 anos,"Sim, já ouvi falar.",Faculdade,1,Não sei opinar,Tempo de desenvolvimento,Não,,
26/01/2021 12:00:29,Masculino,Desenvolvedor Mobile,Entre 1 e 3 anos,"Sim, já ouvi falar.",Pesquisando,0,Android,Tempo de desenvolvimento,Sim,Não,Pequena
26/01/2021 12:07:41,Masculino,Desenvolvedor Mobile,Mais de 5 anos,"Sim, eu conheço ou já utilizo.",Pesquisando,1,Android,Tempo de desenvolvimento,Sim,Não,Média
26/01/2021 12:25:03,Masculino,Desenvolvedor Mobile,Entre 1 e 3 anos,"Sim, eu conheço ou já utilizo.",Pesquisando,1,Android,Falta de obrigação nos requisitos do projeto,Não,,
26/01/2021 12:33:14,Masculino,Desenvolvedor Mobile,Entre 1 e 3 anos,"Sim, já ouvi falar.",Faculdade,3,Android,Falta de obrigação nos requisitos do projeto,Sim,Não,Pequena
26/01/2021 12:34:56,Feminino,Desenvolvedor Mobile,Menos de 1 ano,"Sim, já ouvi falar.",Curso online,0,Não sei opinar,Conhecimento técnico,Não,,
26/01/2021 12:36:38,Masculino,Desenvolvedor Mobile,Menos de 1 ano,"Não, nunca ouvi falar.",,,,,,,
26/01/2021 12:37:13,Masculino,Desenvolvedor Mobile,Menos de 1 ano,"Sim, já ouvi falar.",Curso online,0,Não sei opinar,Falta de obrigação nos requisitos do projeto,Não,,
26/01/2021 12:37:45,Masculino,Desenvolvedor Mobile,Menos de 1 ano,"Sim, já ouvi falar.",Curso online,0,Não sei opinar,Falta de obrigação nos requisitos do projeto,Sim,Não,Pequena
26/01/2021 12:47:38,Masculino,Desenvolvedor Mobile,Entre 1 e 3 anos,"Sim, eu conheço ou já utilizo.",Na prática no trabalho,2,"Android, IOS",Tempo de desenvolvimento,Sim,Sim,Grande
26/01/2021 12:48:27,Masculino,Desenvolvedor Mobile,Entre 1 e 3 anos,"Sim, eu conheço ou já utilizo.",Na prática no trabalho,3,"Android, IOS",Tempo de desenvolvimento,Sim,Não,Pequena
26/01/2021 12:49:25,Masculino,Desenvolvedor Mobile,Entre 3 e 5 anos,"Sim, eu conheço ou já utilizo.",Na prática no trabalho,3,"Android, IOS",Tempo de desenvolvimento,Sim,Sim,Média
26/01/2021 12:53:48,Masculino,Gerente,Entre 3 e 5 anos,"Sim, eu conheço ou já utilizo.",Na prática no trabalho,3,"Android, IOS",Tempo de desenvolvimento,Sim,Sim,Média
26/01/2021 12:54:33,Masculino,Gerente,Entre 3 e 5 anos,"Sim, já ouvi falar.",Pesquisando,0,Não sei opinar,Falta de obrigação nos requisitos do projeto,Sim,Não,Média
26/01/2021 12:56:19,Masculino,Desenvolvedor Mobile,Entre 3 e 5 anos,"Sim, eu conheço ou já utilizo.",Curso online,0,Não sei opinar,Falta de obrigação nos requisitos do projeto,Sim,Não,Média
26/01/2021 12:57:22,Masculino,UI/UX,Entre 1 e 3 anos,"Sim, eu conheço ou já utilizo.",Curso online,3,"Android, IOS",Falta de obrigação nos requisitos do projeto,Sim,Não,Pequena
26/01/2021 12:59:54,Masculino,Desenvolvedor Mobile,Entre 1 e 3 anos,"Sim, eu conheço ou já utilizo.",Na prática no trabalho,2,"Android, IOS",Falta de obrigação nos requisitos do projeto,Sim,Não,Média
26/01/2021 12:59:55,Masculino,UI/UX,Menos de 1 ano,"Sim, eu conheço ou já utilizo.",Curso online,1,Não sei opinar,Falta de obrigação nos requisitos do projeto,Não,,
26/01/2021 13:02:20,Masculino,Desenvolvedor Mobile,Entre 3 e 5 anos,"Sim, já ouvi falar.",Pesquisando,0,Não sei opinar,Falta de obrigação nos requisitos do projeto,Sim,Não,Média
26/01/2021 13:03:40,Feminino,Desenvolvedor Mobile,Menos de 1 ano,"Sim, já ouvi falar.",Pesquisando,0,Não sei opinar,Falta de obrigação nos requisitos do projeto,Sim,Não,Pequena
26/01/2021 14:00:33,Masculino,Desenvolvedor Mobile,Entre 1 e 3 anos,"Sim, já ouvi falar.",Faculdade,1,Não sei opinar,Conhecimento técnico,Não,,
26/01/2021 14:21:13,Masculino,UI/UX,Menos de 1 ano,"Sim, já ouvi falar.",Curso online,2,Não sei opinar,Falta de obrigação nos requisitos do projeto,Não,,
26/01/2021 14:51:50,Masculino,Desenvolvedor Mobile,Entre 1 e 3 anos,"Sim, já ouvi falar.",Faculdade,2,"Android, IOS",Conhecimento técnico,Não,,
26/01/2021 14:55:47,Masculino,Desenvolvedor Mobile,Entre 3 e 5 anos,"Sim, eu conheço ou já utilizo.",Na prática no trabalho,4,"Android, IOS",Falta de obrigação nos requisitos do projeto,Sim,Não,Pequena
26/01/2021 15:18:35,Masculino,UI/UX,Menos de 1 ano,"Sim, já ouvi falar.",Faculdade,3,Não sei opinar,Conhecimento técnico,Não,,
26/01/2021 15:25:21,Masculino,Analista de requisito,Entre 3 e 5 anos,"Sim, já ouvi falar.",Na prática no trabalho,2,Não sei opinar,Tempo de desenvolvimento,Sim,Sim,Pequena
26/01/2021 15:27:33,Feminino,Desenvolvedor Mobile,Menos de 1 ano,"Não, nunca ouvi falar.",,,,,,,
26/01/2021 16:04:08,Masculino,Desenvolvedor Mobile,Entre 1 e 3 anos,"Sim, já ouvi falar.",Curso online,3,"Android, IOS",Falta de obrigação nos requisitos do projeto,Sim,Não,Média
26/01/2021 16:14:13,Feminino,UI/UX,Entre 3 e 5 anos,"Sim, eu conheço ou já utilizo.",Faculdade,4,Não sei opinar,Falta de obrigação nos requisitos do projeto,Não,,
26/01/2021 16:28:41,Masculino,Desenvolvedor Mobile,Entre 1 e 3 anos,"Sim, já ouvi falar.",Faculdade,2,Não sei opinar,Conhecimento técnico,Não,,
26/01/2021 16:58:46,Masculino,Desenvolvedor Mobile,Entre 3 e 5 anos,"Sim, eu conheço ou já utilizo.",Na prática no trabalho,4,"Android, IOS",Falta de obrigação nos requisitos do projeto,Sim,Sim,Grande
26/01/2021 17:05:13,Masculino,Desenvolvedor Mobile,Mais de 5 anos,"Sim, eu conheço ou já utilizo.",Na prática no trabalho,5,Android,Falta de obrigação nos requisitos do projeto,Sim,Não,Grande
26/01/2021 20:14:36,Feminino,Desenvolvedor Mobile,Menos de 1 ano,"Sim, já ouvi falar.",Pesquisando,3,"Android, IOS",Conhecimento técnico,Sim,Sim,Pequena